tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2022-01-02,2022-01-21,2022-01-21,1,HongKong/HK-HKPU-13102/2022|2022-01-21,HongKong/HK-HKPU-13050/2022|2022-01-17,2022.043836,0,19.11797756
2021-12-07,2022-01-21,2022-01-21,1,HongKong/HK-HKPU-13119/2022|2022-01-21,Congo/RC-418/2021|2021-12-13,2021.947945,0,44.3231183
2021-12-12,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13165/2022|2022-01-23,Rwanda/NRLNAT4336/2021|2021-12-15,2021.953425,0,41.733015
2022-01-12,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13166/2022|2022-01-23,Norway/8842/2022|2022-02-16,2022.126027,0,11.00777263
2021-12-09,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13173/2022|2022-01-23,Mozambique/CERI-KRISP-K035190/2021|2021-12-30,2021.994521,0,44.3424695
2021-12-10,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13177/2022|2022-01-23,Bulgaria/22BG-EU_017270_Pl163/2022|2022-01-29,2022.076712,0,43.30417923
2021-12-16,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13178/2022|2022-01-23,Belize/8734783-GMI/2021|2021-12-29,2021.991781,0,38.16616054
2021-12-10,2022-01-23,2022-01-23,1,HongKong/HK-HKPU-13179/2022|2022-01-23,Ecuador/NIC-INSPI-7208185/2021|2021-12-15,2021.953425,0,43.85252759
2022-01-10,2022-01-24,2022-01-24,1,HongKong/HK-HKPU-13313/2022|2022-01-24,Hungary/mbl_00077/2022|2022-01-03,2022.005479,0,13.43564246
2022-01-03,2022-01-24,2022-01-24,1,HongKong/HK-HKPU-13317/2022|2022-01-24,Georgia/Tb-sNGS4786/2022|2022-01-04,2022.008219,0,21.0683868
2021-12-02,2022-01-24,2022-01-24,1,HongKong/HK-HKPU-13354/2022|2022-01-24,SriLanka/aicbu3409/2022|2022-01-03,2022.005479,0,52.53882412
2021-12-19,2022-01-25,2022-01-25,1,HongKong/HK-HKPU-13483/2022|2022-01-25,Guatemala/78-GMI/2021|2021-12-30,2021.994521,0,36.55001414
2022-01-07,2022-01-26,2022-01-26,1,HongKong/HK-HKPU-13562/2022|2022-01-26,Canada/BC-BCCDC-356272/2022|2022-02-07,2022.10137,0,18.21285867
2021-12-06,2022-01-27,2022-01-27,1,HongKong/HK-HKPU-13699/2022|2022-01-27,HongKong/HKU-220213-334/2022|2022-01-02,2022.00274,0,51.87012697
2022-01-09,2022-01-27,2022-01-27,1,HongKong/HK-HKPU-13700/2022|2022-01-27,Japan/PG-197505/2022|2022-01-18,2022.046575,0,18.13742456
2021-12-08,2022-01-06,2022-01-06,1,HongKong/HK-HKPU-PU22TM200779/2022|2022-01-06,Switzerland/SG-CLM-01045076/2022|2022-01-04,2022.008219,0,28.42890308
2022-01-05,2022-01-14,2022-01-14,1,HongKong/HK-HKPU-PU22TM213536/2022|2022-01-14,HongKong/VM22000047/2022|2022-01-01,2022,0,8.765739806
2022-01-04,2022-01-14,2022-01-14,1,HongKong/HK-HKPU-PU22TM214203/2022|2022-01-14,Malaysia/TIDREC-NSC731/2021|2021-12-24,2021.978082,0,9.335399468
2021-12-13,2022-01-14,2022-01-14,1,HongKong/HK-HKPU-PU22TM214224/2022|2022-01-14,HongKong/VM22000047/2022|2022-01-01,2022,0,31.43941697
2021-12-04,2022-01-18,2022-01-18,1,HongKong/HK-HKPU-PU22TM217208/2022|2022-01-18,Moldova/D0044/2022|2022-01-04,2022.008219,0,44.53601656
2022-01-17,2022-02-04,2022-02-04,1,HongKong/HK-HKPU-PU22TM232666/2022|2022-02-04,Indonesia/JK-GS-GSILab-894261/2022|2022-01-24,2022.063014,0,17.30666289
2022-01-06,2022-02-04,2022-02-04,1,HongKong/HK-HKPU-PU22TM233613/2022|2022-02-04,Bonaire/BQ-RIVM-87380/2022|2022-02-02,2022.087671,0,28.28817042
2022-01-10,2022-02-04,2022-02-04,1,HongKong/HK-HKPU-PU22TM234784/2022|2022-02-04,Thailand/DMSc-06848/2022|2022-01-12,2022.030137,0,24.86967782
2022-01-07,2022-02-07,2022-02-07,1,HongKong/HK-HKPU-PU22TM235697/2022|2022-02-07,Indonesia/JK-GS-GSILab-870236/2022|2022-01-11,2022.027397,0,30.74708853
2021-12-16,2022-02-07,2022-02-07,1,HongKong/HK-HKPU-PU22TM236743/2022|2022-02-07,Hungary/mbl_33100/2021|2021-12-22,2021.972603,0,52.35213572
2022-01-13,2022-02-07,2022-02-07,1,HongKong/HK-HKPU-PU22TM237601/2022|2022-02-07,Indonesia/JK-GS-GSILab-870236/2022|2022-01-11,2022.027397,0,24.89806996
2021-12-24,2022-02-09,2022-02-09,1,HongKong/HK-HKPU-PU22TM237958/2022|2022-02-09,Djibouti/NAMRU3_A845/2022|2022-01-02,2022.00274,0,46.51569247
2021-12-02,2022-04-09,2022-04-09,1,HongKong/HK-HKPU-PUB082650685/2022|2022-04-09,Turkey/HSGM-F16243/2022|2022-01-10,2022.024658,0,127.8506276
2021-12-18,2022-04-11,2022-04-11,1,HongKong/HK-HKPU-PUB092931857/2022|2022-04-11,Latvia/3886473/2022|2022-01-08,2022.019178,0,113.2422403
