tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-12-18,2022-01-01,2022-01-01,1,HongKong/VM22000064/2022|2022-01-01,Brunei/7122006607/2022|2022-01-07,2022.01643835616,0,13.9621701233398
2021-12-25,2022-01-02,2022-01-02,1,HongKong/VM22000086/2022|2022-01-02,HongKong/VM22000324/2022|2022-01-03,2022.00547945205,0,7.69067227976848
2021-12-28,2022-01-02,2022-01-02,1,HongKong/VM22000094/2022|2022-01-02,Japan/TY40-386-P0/2022|2022-01-05,2022.01095890411,0,4.63328802554315
2021-12-14,2022-01-03,2022-01-03,1,HongKong/VM22000324/2022|2022-01-03,HongKong/HK-HKPU-13094/2022|2022-01-20,2022.05205479452,0,20.1167497610732
2021-12-20,2022-01-03,2022-01-03,1,HongKong/VM22000409/2022|2022-01-03,HongKong/HK-HKPU-12663/2022|2022-01-01,2022,0,13.5949460317352
2021-12-18,2022-01-03,2022-01-03,1,HongKong/VM22000410/2022|2022-01-03,HongKong/HK-HKPU-12672/2022|2022-01-01,2022,0,16.0382728344769
2022-01-25,2022-01-31,2022-01-31,1,HongKong/VM22005539/2022|2022-01-31,Turkey/HSGM-G6423/2022|2022-03-03,2022.16712328767,0,5.27562031323669
2022-01-20,2022-02-02,2022-02-02,1,HongKong/VM22005972/2022|2022-02-02,HongKong/HKU-220213-358/2022|2022-01-13,2022.03287671233,0,12.2233907028271
2022-01-30,2022-02-02,2022-02-02,1,HongKong/VM22006026/2022|2022-02-02,HongKong/HK-HKPU-PU22TM235701/2022|2022-02-07,2022.10136986301,0,2.38648966465689
2021-12-29,2022-01-04,2022-01-04,1,HongKong/WHP5175-S10-iseq/2022|2022-01-04,HongKong/HK-HKPU-12766/2022|2022-01-04,2022.00821917808,0,5.41021283654345
2022-01-07,2022-01-08,2022-01-08,1,HongKong/WHP5204/2022|2022-01-08,HongKong/HK-HKPU-12928/2022|2022-01-09,2022.02191780822,0,0.4175398100449
2022-01-01,2022-01-06,2022-01-06,1,HongKong/WHP5216/2022|2022-01-06,Israel/SMC-7036680/2022|2022-01-11,2022.02739726027,0,4.55002108258554
2021-12-28,2022-01-05,2022-01-05,1,HongKong/WHP5219/2022|2022-01-05,Philippines/PH-RITM-658/2021|2021-12-26,2021.98356164384,0,7.82990692349017
2021-12-30,2022-01-05,2022-01-05,1,HongKong/WHP5224/2022|2022-01-05,HongKong/HK-HKPU-12784/2022|2022-01-05,2022.01095890411,0,5.99235129856993
