time	incidence	incidence_Upper	incidence_Lower	k	generation_time
2022.0286	99	576	20	0.2	3
2022.0361	149	748	35	0.2	3
2022.0435	221	940	63	0.2	3
2022.051	316	1152	105	0.2	3
2022.0584	662	1740	321	0.2	3
2022.0659	1282	2724	729	0.2	3
2022.0733	2153	4086	1304	0.2	3
2022.0808	3214	5772	1981	0.2	3
2022.0882	4394	7665	2714	0.2	3
2022.0957	5558	9454	3474	0.2	3
2022.1031	6655	11016	4253	0.2	3
2022.1106	7806	12579	5109	0.2	3
2022.118	9819	15656	6454	0.2	3
2022.1255	12715	20280	8298	0.2	3
2022.1329	16976	27572	10761	0.2	3
2022.1404	22806	38132	13824	0.2	3
2022.1478	30199	51949	17485	0.2	3
2022.1553	57942	128186	27171	0.2	3
2022.1627	106696	269267	43015	0.2	3
2022.1702	165041	430065	62866	0.2	3
2022.1776	226005	586931	84908	0.2	3
2022.1851	290987	745744	109520	0.2	3
2022.1925	353322	899752	133609	0.2	3
2022.2	412839	1048506	157100	0.2	3
2022.2075	474828	1210848	182719	0.2	3
2022.2149	536770	1383950	209861	0.2	3
2022.2224	603742	1581863	240813	0.2	3
2022.2298	664697	1750841	268778	0.2	3
2022.2373	721646	1896086	294670	0.2	3
2022.2447	770263	2014225	316635	0.2	3
2022.2522	811285	2116031	335133	0.2	3
2022.2596	837999	2184927	347134	0.2	3
2022.2671	856271	2232545	355301	0.2	3
2022.2745	867082	2261132	360074	0.2	3
