date	k	generation_time	prevalence	prevalence_Upper	prevalence_Lower
2022-01-22	0.1	2	806.4341495849802	1387.5304912297527	495.3127202042999
2022-01-23	0.1	2	1067.9998744255895	1767.9916010548402	679.1249406643169
2022-01-24	0.1	2	1324.826908421189	2140.6666933955466	859.9044227087693
2022-01-25	0.1	2	1584.4741948844026	2518.0103774450436	1042.4773002478807
2022-01-26	0.1	2	1839.5345273608464	2888.1522677650646	1222.003086422717
2022-01-27	0.1	2	2103.7657585416923	3272.692883141127	1407.6211021020074
2022-01-28	0.1	2	2283.1468215427108	3577.162822591996	1502.8898977857748
2022-01-29	0.1	2	2462.527884543729	3881.6327620428647	1598.158693469542
2022-01-30	0.1	2	2645.3134737368937	4191.4971706344995	1695.6097438622307
2022-01-31	0.1	2	2820.3891065954635	4489.138695970413	1788.1251122377053
2022-02-01	0.1	2	2983.066227453724	4766.910211145895	1872.9119145875084
2022-02-02	0.1	2	3075.6510339067613	4932.095538255051	1914.2556336514604
2022-02-03	0.1	2	3247.984448035805	5224.706056846995	2005.6813204700998
2022-02-04	0.1	2	3152.639323382724	4955.718815856039	2004.4552738940347
2022-02-05	0.1	2	3085.6663462094057	4732.4071036584855	2020.7314683793252
2022-02-06	0.1	2	3019.1752304741394	4509.853658335057	2037.3136246314712
2022-02-07	0.1	2	2957.6521095989883	4294.514618844177	2057.351097718981
2022-02-08	0.1	2	2886.214327645509	4064.779478877659	2070.4919047696667
2022-02-09	0.1	2	2819.7338762311942	3842.2423891489602	2087.081044838764
2022-02-10	0.1	2	2756.7115458096664	3624.2516948849134	2106.3124211665217
2022-02-11	0.1	2	3582.544218699232	5077.843437952673	2571.38291110709
2022-02-12	0.1	2	4412.074516659618	6536.337970531513	3039.2599085757374
2022-02-13	0.1	2	5262.913508473572	8027.3557911481	3521.3845911390504
2022-02-14	0.1	2	6102.139098755207	9501.659931757282	3995.287837930957
2022-02-15	0.1	2	6966.634436162001	11016.236824823554	4485.318814804026
2022-02-16	0.1	2	7801.883687079695	12485.184710792268	4956.241855223686
2022-02-17	0.1	2	8737.505833287916	14116.230361032676	5490.263538563105
2022-02-18	0.1	2	10280.344438421684	17305.174049912683	6093.469080187895
2022-02-19	0.1	2	11799.534540026063	20459.962541998597	6679.684259397903
2022-02-20	0.1	2	13288.84168856829	23564.450132197948	7248.185936796142
2022-02-21	0.1	2	14778.130485138214	26668.905900746646	7816.677225193011
2022-02-22	0.1	2	16267.419281708137	29773.36166929535	8385.16851358988
2022-02-23	0.1	2	17677.292289048288	32730.773413215815	8913.615106960226
2022-02-24	0.1	2	19252.51954297404	35994.467972300314	9525.378246233879
2022-02-25	0.1	2	38237.00205020646	94279.0952545192	15139.87585736535
2022-02-26	0.1	2	57594.14688757843	153843.26659515468	20842.134619116536
2022-02-27	0.1	2	76469.41430673291	212221.46928190623	26353.23463851279
2022-02-28	0.1	2	95339.44304773318	270585.68656991544	31862.43756925453
2022-03-01	0.1	2	114213.12500550541	328960.4299867528	37372.83524089608
2022-03-02	0.1	2	136046.9089821498	395950.4670729145	43836.999290440406
2022-03-03	0.1	2	141116.66490118927	400235.17220351996	46691.705598464716
2022-03-04	0.1	2	143644.62591000495	397100.012182933	48729.98850184132
